Type,Title,Legacy ID,Detail,
UTC,ResourceUtilTest::getRecordByToken,ZBS01-24218,ResourceUtilTest::getRecordByToken,<br >          <span style=font-weight: bold;>ResourceUtilTest::getRecordByToken<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 124.062px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 94.1562px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 160.922px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 329.859px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 124.062px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 94.1562px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 160.922px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>getRecordByToken<br>                </td>                <td style=text-align: left;vertical-align: top;width: 329.859px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::getRecordByToken<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::testGetRecordByToken,ZBS01-24299,ResourceUtilTest::testGetRecordByToken,<br >          <span style=font-weight: bold;>ResourceUtilTest::testGetRecordByToken<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 124.062px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 94.1562px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 160.922px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 329.859px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 124.062px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 94.1562px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 160.922px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>getRecordByToken<br>                </td>                <td style=text-align: left;vertical-align: top;width: 329.859px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testGetRecordByToken<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::testGetRecordOfOrganization,ZBS01-24212,ResourceUtilTest::testGetRecordOfOrganization,<br >          <span style=font-weight: bold;>ResourceUtilTest::testGetRecordOfOrganization<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 119.438px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 90.3125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 170.656px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 328.594px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 119.438px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 90.3125px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 170.656px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>getRecordOfOrganization<br>                </td>                <td style=text-align: left;vertical-align: top;width: 328.594px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testGetRecordOfOrganization<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::getReocrdOfOrganization,ZBS01-24298,ResourceUtilTest::getReocrdOfOrganization,<br >          <span style=font-weight: bold;>ResourceUtilTest::getReocrdOfOrganization<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 119.438px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 90.3125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 170.656px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 328.594px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 119.438px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 90.3125px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 170.656px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>getRecordOfOrganization<br>                </td>                <td style=text-align: left;vertical-align: top;width: 328.594px;height: 39px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::getReocrdOfOrganization<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::addPatientToRecord,ZBS01-24217,ResourceUtilTest::addPatientToRecord,<br >          <span style=font-weight: bold;>ResourceUtilTest::addPatientToRecord<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 123.125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 93.375px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 161.484px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 331.016px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 123.125px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 93.375px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 161.484px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>addPatientToRecord<br>                </td>                <td style=text-align: left;vertical-align: top;width: 331.016px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::addPatientToRecord<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtil,ZBS01-24303,ResourceUtil,<br > <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 123.125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 93.375px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 161.484px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 331.016px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 123.125px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 93.375px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 161.484px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>addPatientToRecord<br>                </td>                <td style=text-align: left;vertical-align: top;width: 331.016px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testAddPatientToRecord<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::testAddPatientToRecord1,ZBS01-24302,ResourceUtilTest::testAddPatientToRecord1,<br >          <span style=font-weight: bold;>ResourceUtilTest::testAddPatientToRecord1<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 123.125px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 93.375px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 161.484px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 331.016px;height: 20px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 123.125px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 93.375px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 161.484px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>addPatientToRecord<br>                </td>                <td style=text-align: left;vertical-align: top;width: 331.016px;height: 58.5px;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testAddPatientToRecord1<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::testGetToken,ZBS01-24215,ResourceUtilTest::testGetToken,<br > <span style=font-weight: bold;>ResourceUtilTest::testGetToken<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 96px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 155px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 330px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127px;height: 1px;border: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 96px;height: 1px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 155px;height: 1px;border: 1px solid #CCCCCC;padding: 5px;>getToken<br>                </td>                <td style=text-align: left;vertical-align: top;width: 330px;height: 1px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testGetToken<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::testGetToken1,ZBS01-24307,ResourceUtilTest::testGetToken1,<br > <span style=font-weight: bold;>ResourceUtilTest::testGetToken1<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 127px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 96px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 155px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 330px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 127px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 96px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 155px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>getToken<br>                </td>                <td style=text-align: left;vertical-align: top;width: 330px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::testGetToken1<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::getUserByUsername,ZBS01-24221,ResourceUtilTest::getUserByUsername,<br > <span style=font-weight: bold;>ResourceUtilTest::getUserByUsername<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 123px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 93px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 162px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 330px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 123px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 93px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 162px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>getUserByUsername<br>                </td>                <td style=text-align: left;vertical-align: top;width: 330px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::getUserByUsername<br>                </td>              </tr>            </tbody>          </table>
UTC,ResourceUtilTest::getUserByUsername1,ZBS01-24306,ResourceUtilTest::getUserByUsername1,<br > <span style=font-weight: bold;>ResourceUtilTest::getUserByUsername1<br>          </span> <table class=polarion-Document-table id=polarion_wiki macro name=table;params=width=100% style=width: 100%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 123px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>File<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 93px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Class<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 162px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Function<br>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 330px;height: 20px;border: 1px solid #CCCCCC;padding: 5px;>Unit Test(s)<br>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 123px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>                  <div style=text-align: center;>ResourceUtil.java</div>                </td>                <td style=text-align: left;vertical-align: top;width: 93px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtil<br>                </td>                <td style=text-align: left;vertical-align: top;width: 162px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>getUserByUsername<br>                </td>                <td style=text-align: left;vertical-align: top;width: 330px;height: 0px;border: 1px solid #CCCCCC;padding: 5px;>ResourceUtilTest::getUserByUsername1<br>                </td>              </tr>            </tbody>          </table>
